description,attack_vector,complexity,severity,label
privilege escalation to root affects version 2.0.,PHYSICAL,LOW,CRITICAL,3
privilege escalation to root exists in core component.,NETWORK,LOW,CRITICAL,3
rce via serialized object in legacy module.,NETWORK,LOW,CRITICAL,3
privilege escalation to root discovered in beta branch.,NETWORK,LOW,CRITICAL,3
buffer overflow in kernel affects version 2.0.,NETWORK,LOW,CRITICAL,3
buffer overflow in kernel discovered in beta branch.,NETWORK,LOW,CRITICAL,3
unauthenticated access discovered in beta branch.,NETWORK,LOW,CRITICAL,3
privilege escalation to root discovered in beta branch.,NETWORK,LOW,CRITICAL,3
remote code execution affects version 2.0.,LOCAL,LOW,CRITICAL,3
buffer overflow in kernel exists in core component.,LOCAL,LOW,CRITICAL,3
remote code execution discovered in beta branch.,LOCAL,LOW,CRITICAL,3
privilege escalation to root in legacy module.,ADJACENT,LOW,CRITICAL,3
remote code execution exists in core component.,PHYSICAL,LOW,CRITICAL,3
unauthenticated access in legacy module.,NETWORK,LOW,CRITICAL,3
sql injection allows full database dump discovered in beta branch.,NETWORK,LOW,CRITICAL,3
sql injection allows full database dump exists in core component.,NETWORK,LOW,CRITICAL,3
unauthenticated access exists in core component.,ADJACENT,LOW,CRITICAL,3
remote code execution discovered in beta branch.,LOCAL,LOW,CRITICAL,3
sql injection allows full database dump affects version 2.0.,ADJACENT,LOW,CRITICAL,3
unauthenticated access exists in core component.,LOCAL,LOW,CRITICAL,3
rce via serialized object discovered in beta branch.,PHYSICAL,LOW,CRITICAL,3
unauthenticated access exists in core component.,ADJACENT,LOW,CRITICAL,3
buffer overflow in kernel in legacy module.,NETWORK,LOW,CRITICAL,3
privilege escalation to root affects version 2.0.,NETWORK,LOW,CRITICAL,3
remote code execution discovered in beta branch.,LOCAL,LOW,CRITICAL,3
remote code execution exists in core component.,NETWORK,LOW,CRITICAL,3
privilege escalation to root in legacy module.,NETWORK,LOW,CRITICAL,3
privilege escalation to root discovered in beta branch.,ADJACENT,LOW,CRITICAL,3
privilege escalation to root affects version 2.0.,LOCAL,LOW,CRITICAL,3
bypass authentication in administrative portal affects version 2.0.,ADJACENT,LOW,CRITICAL,3
unauthenticated access exists in core component.,NETWORK,LOW,CRITICAL,3
sql injection allows full database dump affects version 2.0.,ADJACENT,LOW,CRITICAL,3
unauthenticated access exists in core component.,ADJACENT,LOW,CRITICAL,3
rce via serialized object affects version 2.0.,NETWORK,LOW,CRITICAL,3
remote code execution exists in core component.,ADJACENT,LOW,CRITICAL,3
sql injection allows full database dump discovered in beta branch.,LOCAL,LOW,CRITICAL,3
remote code execution exists in core component.,LOCAL,LOW,CRITICAL,3
buffer overflow in kernel affects version 2.0.,ADJACENT,LOW,CRITICAL,3
privilege escalation to root affects version 2.0.,ADJACENT,LOW,CRITICAL,3
remote code execution discovered in beta branch.,NETWORK,LOW,CRITICAL,3
rce via serialized object in legacy module.,NETWORK,LOW,CRITICAL,3
bypass authentication in administrative portal affects version 2.0.,NETWORK,LOW,CRITICAL,3
rce via serialized object affects version 2.0.,ADJACENT,LOW,CRITICAL,3
privilege escalation to root discovered in beta branch.,NETWORK,LOW,CRITICAL,3
privilege escalation to root affects version 2.0.,NETWORK,LOW,CRITICAL,3
sql injection allows full database dump exists in core component.,LOCAL,LOW,CRITICAL,3
rce via serialized object exists in core component.,LOCAL,LOW,CRITICAL,3
remote code execution in legacy module.,NETWORK,LOW,CRITICAL,3
sql injection allows full database dump discovered in beta branch.,NETWORK,LOW,CRITICAL,3
remote code execution exists in core component.,LOCAL,LOW,CRITICAL,3
privilege escalation to root affects version 2.0.,PHYSICAL,LOW,CRITICAL,3
bypass authentication in administrative portal in legacy module.,LOCAL,LOW,CRITICAL,3
unauthenticated access affects version 2.0.,NETWORK,LOW,CRITICAL,3
bypass authentication in administrative portal affects version 2.0.,LOCAL,LOW,CRITICAL,3
privilege escalation to root exists in core component.,NETWORK,LOW,CRITICAL,3
privilege escalation to root discovered in beta branch.,NETWORK,LOW,CRITICAL,3
buffer overflow in kernel exists in core component.,NETWORK,LOW,CRITICAL,3
buffer overflow in kernel exists in core component.,ADJACENT,LOW,CRITICAL,3
sql injection allows full database dump affects version 2.0.,NETWORK,LOW,CRITICAL,3
buffer overflow in kernel discovered in beta branch.,NETWORK,LOW,CRITICAL,3
remote code execution affects version 2.0.,NETWORK,LOW,CRITICAL,3
unauthenticated access in legacy module.,LOCAL,LOW,CRITICAL,3
remote code execution in legacy module.,NETWORK,LOW,CRITICAL,3
privilege escalation to root exists in core component.,NETWORK,LOW,CRITICAL,3
privilege escalation to root in legacy module.,ADJACENT,LOW,CRITICAL,3
remote code execution exists in core component.,NETWORK,LOW,CRITICAL,3
remote code execution discovered in beta branch.,ADJACENT,LOW,CRITICAL,3
bypass authentication in administrative portal exists in core component.,ADJACENT,LOW,CRITICAL,3
unauthenticated access in legacy module.,NETWORK,LOW,CRITICAL,3
remote code execution exists in core component.,NETWORK,LOW,CRITICAL,3
sql injection allows full database dump exists in core component.,NETWORK,LOW,CRITICAL,3
sql injection allows full database dump in legacy module.,NETWORK,LOW,CRITICAL,3
remote code execution discovered in beta branch.,NETWORK,LOW,CRITICAL,3
rce via serialized object affects version 2.0.,LOCAL,LOW,CRITICAL,3
rce via serialized object exists in core component.,NETWORK,LOW,CRITICAL,3
bypass authentication in administrative portal discovered in beta branch.,LOCAL,LOW,CRITICAL,3
privilege escalation to root exists in core component.,NETWORK,LOW,CRITICAL,3
privilege escalation to root discovered in beta branch.,NETWORK,LOW,CRITICAL,3
bypass authentication in administrative portal in legacy module.,LOCAL,LOW,CRITICAL,3
bypass authentication in administrative portal exists in core component.,NETWORK,LOW,CRITICAL,3
unauthenticated access exists in core component.,NETWORK,LOW,CRITICAL,3
bypass authentication in administrative portal discovered in beta branch.,NETWORK,LOW,CRITICAL,3
rce via serialized object affects version 2.0.,ADJACENT,LOW,CRITICAL,3
buffer overflow in kernel discovered in beta branch.,NETWORK,LOW,CRITICAL,3
remote code execution discovered in beta branch.,NETWORK,LOW,CRITICAL,3
remote code execution affects version 2.0.,NETWORK,LOW,CRITICAL,3
sql injection allows full database dump exists in core component.,LOCAL,LOW,CRITICAL,3
remote code execution in legacy module.,NETWORK,LOW,CRITICAL,3
sql injection allows full database dump affects version 2.0.,ADJACENT,LOW,CRITICAL,3
sql injection allows full database dump exists in core component.,NETWORK,LOW,CRITICAL,3
unauthenticated access discovered in beta branch.,NETWORK,LOW,CRITICAL,3
bypass authentication in administrative portal in legacy module.,NETWORK,LOW,CRITICAL,3
remote code execution discovered in beta branch.,NETWORK,LOW,CRITICAL,3
bypass authentication in administrative portal in legacy module.,NETWORK,LOW,CRITICAL,3
sql injection allows full database dump exists in core component.,ADJACENT,LOW,CRITICAL,3
unauthenticated access discovered in beta branch.,NETWORK,LOW,CRITICAL,3
remote code execution exists in core component.,LOCAL,LOW,CRITICAL,3
privilege escalation to root in legacy module.,NETWORK,LOW,CRITICAL,3
bypass authentication in administrative portal in legacy module.,ADJACENT,LOW,CRITICAL,3
remote code execution exists in core component.,NETWORK,LOW,CRITICAL,3
unauthenticated access affects version 2.0.,NETWORK,LOW,CRITICAL,3
sql injection allows full database dump discovered in beta branch.,NETWORK,LOW,CRITICAL,3
bypass authentication in administrative portal in legacy module.,ADJACENT,LOW,CRITICAL,3
unauthenticated access discovered in beta branch.,NETWORK,LOW,CRITICAL,3
sql injection allows full database dump exists in core component.,ADJACENT,LOW,CRITICAL,3
sql injection allows full database dump exists in core component.,NETWORK,LOW,CRITICAL,3
remote code execution exists in core component.,ADJACENT,LOW,CRITICAL,3
sql injection allows full database dump affects version 2.0.,LOCAL,LOW,CRITICAL,3
bypass authentication in administrative portal discovered in beta branch.,NETWORK,LOW,CRITICAL,3
bypass authentication in administrative portal in legacy module.,NETWORK,LOW,CRITICAL,3
sql injection allows full database dump in legacy module.,LOCAL,LOW,CRITICAL,3
sql injection allows full database dump exists in core component.,NETWORK,LOW,CRITICAL,3
bypass authentication in administrative portal exists in core component.,NETWORK,LOW,CRITICAL,3
buffer overflow in kernel affects version 2.0.,NETWORK,LOW,CRITICAL,3
remote code execution in legacy module.,LOCAL,LOW,CRITICAL,3
remote code execution affects version 2.0.,LOCAL,LOW,CRITICAL,3
rce via serialized object affects version 2.0.,ADJACENT,LOW,CRITICAL,3
buffer overflow in kernel affects version 2.0.,LOCAL,LOW,CRITICAL,3
remote code execution affects version 2.0.,NETWORK,LOW,CRITICAL,3
bypass authentication in administrative portal exists in core component.,NETWORK,LOW,CRITICAL,3
remote code execution affects version 2.0.,NETWORK,LOW,CRITICAL,3
privilege escalation to root exists in core component.,ADJACENT,LOW,CRITICAL,3
bypass authentication in administrative portal affects version 2.0.,NETWORK,LOW,CRITICAL,3
rce via serialized object affects version 2.0.,LOCAL,LOW,CRITICAL,3
bypass authentication in administrative portal exists in core component.,NETWORK,LOW,CRITICAL,3
remote code execution discovered in beta branch.,ADJACENT,LOW,CRITICAL,3
remote code execution exists in core component.,NETWORK,LOW,CRITICAL,3
remote code execution in legacy module.,NETWORK,LOW,CRITICAL,3
privilege escalation to root affects version 2.0.,NETWORK,LOW,CRITICAL,3
buffer overflow in kernel exists in core component.,NETWORK,LOW,CRITICAL,3
rce via serialized object discovered in beta branch.,LOCAL,LOW,CRITICAL,3
buffer overflow in kernel exists in core component.,LOCAL,LOW,CRITICAL,3
unauthenticated access discovered in beta branch.,ADJACENT,LOW,CRITICAL,3
sql injection allows full database dump affects version 2.0.,LOCAL,LOW,CRITICAL,3
sql injection allows full database dump in legacy module.,LOCAL,LOW,CRITICAL,3
privilege escalation to root in legacy module.,LOCAL,LOW,CRITICAL,3
privilege escalation to root exists in core component.,LOCAL,LOW,CRITICAL,3
bypass authentication in administrative portal in legacy module.,NETWORK,LOW,CRITICAL,3
remote code execution exists in core component.,ADJACENT,LOW,CRITICAL,3
remote code execution exists in core component.,NETWORK,LOW,CRITICAL,3
rce via serialized object exists in core component.,LOCAL,LOW,CRITICAL,3
bypass authentication in administrative portal discovered in beta branch.,NETWORK,LOW,CRITICAL,3
bypass authentication in administrative portal affects version 2.0.,NETWORK,LOW,CRITICAL,3
remote code execution exists in core component.,NETWORK,LOW,CRITICAL,3
remote code execution affects version 2.0.,NETWORK,LOW,CRITICAL,3
sql injection allows full database dump exists in core component.,NETWORK,LOW,CRITICAL,3
rce via serialized object exists in core component.,LOCAL,LOW,CRITICAL,3
buffer overflow in kernel discovered in beta branch.,ADJACENT,LOW,CRITICAL,3
unauthenticated access affects version 2.0.,ADJACENT,LOW,CRITICAL,3
unauthenticated access in legacy module.,NETWORK,LOW,CRITICAL,3
bypass authentication in administrative portal in legacy module.,NETWORK,LOW,CRITICAL,3
buffer overflow in kernel exists in core component.,ADJACENT,LOW,CRITICAL,3
unauthenticated access discovered in beta branch.,NETWORK,LOW,CRITICAL,3
bypass authentication in administrative portal in legacy module.,NETWORK,LOW,CRITICAL,3
bypass authentication in administrative portal affects version 2.0.,ADJACENT,LOW,CRITICAL,3
buffer overflow in kernel discovered in beta branch.,LOCAL,LOW,CRITICAL,3
unauthenticated access discovered in beta branch.,NETWORK,LOW,CRITICAL,3
remote code execution exists in core component.,ADJACENT,LOW,CRITICAL,3
privilege escalation to root in legacy module.,NETWORK,LOW,CRITICAL,3
